numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,num_articles1997,num_articles1998,num_articles1999,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011,num_articles2012,num_articles2013,num_articles2014,num_articles2015
4,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1,,,
8,Albania,,,,,,3,3,3,3,,,,,,,,,,,,,,3,15,8,
12,Algeria,,,,,,,,2,,,4,8,4,4,4,3,3,4,,,,4,236,1080,4108,6211
20,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Angola,,,,,,,,,,,,,,,,,,,,,,,1,1,,
28,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,1,,15
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Argentina,,,,,,,,,,,,,,,,,,,,,,,49,171,255,374
36,Australia,,,,,,,18,26,34,39,122,121,92,90,105,127,132,80,85,87,86,150,278,404,476,434
40,Austria,,,,,,,,,91,85,85,79,61,61,75,122,457,581,690,880,976,1359,2369,4309,11525,33563
44,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bahrain,,,,,,,,,,,,,,,,,,,,,,3,3,,,
50,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,,,,,,,,,,,,,,3,,,2,2,,,,8,476,11132,15003,16623
52,Barbados,,,,,,,,,,,,,,,,,,,,,,,,1,,
56,Belgium,,,,,0,,238,238,105,103,102,47,31,189,333,524,253,114,152,177,229,978,1293,2365,3353,8109
60,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia,,,,,,,,,,,,,,,,,,,,,2,,,3,6,7
70,Bosnia and Herzegovina,,,,,,,,,,,,2,1,2,2,1,1,2,2,3,3,3,31,66,25,14
72,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,,,,,,,,,,,5,5,6,7,6,5,6,6,6,5,5,19,109,403,1815,3425
84,Belize,,,,,,,,,,,15,,,,,,,,,,,,,,,
90,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,,,,1,26,31,37,1,1,2,36,58,61,65,74,78,79,85,90,100,125,168,97,4604,11011,15502
108,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,,,,,,,,,0,,3,3,2,2,3,1,,,,,,,11,60,120,145
116,Cambodia,,,,,,,,,,,,,,,,,,,,,,,1,1,,
120,Cameroon,,,,,,,,,,,,,,,,,,,,,,,4,8,11,23
124,Canada,,,,,415,365,340,324,333,364,488,561,574,586,554,461,456,712,736,760,766,798,937,1027,889,1748
132,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,8,8
144,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Chad,,,,,,,,,,,,,,,,,,,,,1,3,4,17,15,28
152,Chile,,,,,,,,,,,,,,,,,,,,,,,5,10,16,24
156,China,,,,,,,,,,,,,,,,,,,1,5,4,6,2,4,5,38
158,"Taiwan, Province of China",,,,,,,,,,,,,,,,,,,,,,,,,,
170,Colombia,,,,,,,,,,,,,,,,,,,,,,,3,3,,7
174,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,,,,,,,2,,7
184,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,,,,,,,,,,,,,,,,,,,,,,1,2,5,5,8
191,Croatia,,,,,,,,,,,,,,,,,,,,,4,4,52,59,28,23
192,Cuba,,,,,,,,,,,6,,,,,,,,,,,,14,24,20,41
196,Cyprus,,,,,,,,,5,15,8,30,27,57,558,1577,2511,2327,1080,499,367,482,1085,1635,2560,3802
203,Czech Republic,,,,,,,,,,,15,23,17,17,14,25,45,33,54,71,59,23,124,174,290,407
204,Benin,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
208,Denmark,46,71,108,129,129,129,127,145,144,231,258,237,229,200,195,200,224,261,302,544,1233,1290,2018,3357,8721,13813
212,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,,,,,,,,,,,,,,,,,,,,,1,1,7,3,,
218,Ecuador,,,,12,13,15,15,15,15,15,15,2,,1,2,1,1,12,10,11,11,11,11,15,13,17
222,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,5
226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,8,24
232,Eritrea,,,,,,,,,,,0,,,,,,,,,,,,,,,
233,Estonia,,,,,,,,,,,,4,,,,,,,,,,,,12,6,6
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,,,,,,,,,27,27,26,32,25,34,40,39,54,51,65,83,82,161,328,429,493,1270
250,France,,,,,,213,192,196,192,174,148,192,207,191,205,213,216,217,233,244,280,351,640,1817,4121,7890
254,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,
258,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,1,,
266,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,,,,,,,,,,,,,,,,,,,,,,,157,542,505,484
270,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,,,,,,,,,,,1046,1152,15677,16448,16659,13357,7962,8410,9623,12028,13208,14868,24151,31819,70585,197186
288,Ghana,,,,,,,,,,,,,,,,,,,,,,,2,56,78,96
292,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,,,,125,118,,,,,,33,45,59,67,78,78,61,439,166,19,2233,10,20,1860,4095,9549
304,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Holy See (Vatican City State),,,,,,,,,,,,,,,,,,,,,,,,,,
340,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,,,,,,,,,,2,16,10,20,29,33,49,60,68,75,46,47,42,86,325,1157,19083
352,Iceland,,,,,,,,,,,1,1,1,1,1,1,1,2,3,1,3,1,4,18,12,37
356,India,,,,,,,,,,,,,,,,,6,6,1,,,1,11,30,45,61
360,Indonesia,,,,,,,,,,,1,1,2,1,2,1,1,1,,3,,7,53,79,86,93
364,"Iran, Islamic Republic of",,,,,,,,,,,,,,,,,1,,,1,1,,,,,
368,Iraq,,,,,,,,,,,127,112,106,649,1091,1401,1574,1566,1546,884,1222,1714,64771,213973,235421,244642
372,Ireland,,,,,,,,,,2,2,9,13,31,39,27,41,47,52,40,44,45,53,86,187,160
376,Israel,,,,,,,,,5,4,8,3,1,,1,4,4,4,3,,,,,1,,
380,Italy,32,32,36,35,35,41,36,34,28,21,24,22,36,35,41,47,62,84,110,190,240,262,952,1118,1475,1706
384,Cote D'Ivoire,,,,3,3,,,3,3,3,3,3,3,3,3,3,3,,,,,,,14,16,28
388,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,2,,
392,Japan,,,,,,,,,,,,,,,,,,,,,,,18,26,53,59
398,Kazakhstan,,,,,,,,3,3,3,3,1,,,,,,,,,,2,12,29,42,39
400,Jordan,,,,,1,,,,10,1,112,162,70,96,114,105,99,101,168,282,485,2811,239289,585304,623112,628223
404,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,5,17
408,"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
410,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,2,146,431,567,966
414,Kuwait,,,,,,,,,,,,,,,4,7,1,9,9,13,17,20,23,21,22,20
417,Kyrgyzstan,,,,,,,,,,,,,1,18,8,16,14,18,18,23,23,20,41,92,73,67
418,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,,,,,,,,,,,,,,,,,24,90,150,190,205,491,127181,851615,1147911,1062705
426,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,,,,,,,,,,,,,,,,,,,3,,,15,32,45,69,65
430,Liberia,,,,,,,,,,,,,,,,,,,,,,,,8,6,6
434,Libyan Arab Jamahiriya,,,,,,57,80,,9,,,,,,,,8,11,12,8,,,3794,16796,18653,18688
438,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,5,23
440,Lithuania,,,,,,,,,,,,,,,,,1,3,3,3,3,4,10,21,20,28
442,Luxembourg,,,,,,,,,,,,,,,,,,,,,15,,,28,119,768
450,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,,,,,,,,,,,,,,1,2,1,1,4,,1,5,12,87,821,977,1302
462,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,,,,,,,,,,,,,,,,,,,,,,,,,16,91
470,Malta,,,,,2,4,5,5,1,1,1,2,4,7,12,14,11,11,11,25,36,152,330,878,1081,1488
474,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,46,95,322
480,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Mexico,,,,,,,,,,,,,1,1,,,1,,,,,,2,13,19,18
492,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,3,,
498,"Moldova, Republic of",,,,,,,,,,,2,1,3,12,17,25,19,14,14,12,14,21,88,166,208,214
504,Morocco,,,,,,1,1,,,,9,9,9,10,4,3,2,2,,,,5,842,856,647,2619
508,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Oman,,,,,,,,,,,1,1,1,1,1,8,8,8,7,7,7,11,11,11,13,12
516,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,5,
524,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,,,913,1040,1134,1274,1502,1636,1711,1654,3447,3282,2710,2319,2137,2010,1921,1421,1326,1352,1319,1295,1680,3404,11015,28902
548,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,
554,New Zealand,,,,,,7,7,20,24,17,42,42,35,43,65,47,40,33,35,37,40,37,44,50,54,52
558,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6
566,Nigeria,,,,,,,,,,,,,,,,,1,,,,,,1,19,28,73
570,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,,,,,,,,50,71,120,113,105,107,93,132,144,228,235,276,449,378,507,871,1570,3396,13249
583,"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,
585,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Pakistan,,,,,0,,,,,,3,1,1,7,8,8,8,8,8,8,8,10,11,13,16,25
591,Panama,,,,,,,,,,,,,,,,,,,,,,2,,,,
598,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,16,57
604,Peru,,,,3,3,3,3,3,3,3,3,4,4,3,2,2,,,2,,,,,3,20,29
608,Philippines,,,,,,,,,,,,,,,,,,,,,,2,5,28,54,76
616,Poland,,,,,,,,14,14,14,14,16,17,19,9,13,9,12,12,11,16,20,100,208,274,481
620,Portugal,,,,,,,,,,,,,,,,,,,,,,,9,22,30,30
624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,,,,,,,,,,,6,6,,1,3,2,2,2,7,7,8,8,9,8,14,14
642,Romania,,,,,,,,2,8,14,14,16,19,25,26,27,36,32,31,30,34,47,162,1023,1392,1687
643,Russian Federation,,,,,,,,,,,,,,,,,,1,6,7,8,16,144,2002,2340,1697
646,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,1,,
670,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,
674,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,,,,,,,,,,,14,19,1,1,5,14,15,15,14,20,21,26,26,26,30,9
686,Senegal,,,,,,,,,,,,,,,,,,,,,,,,4,21,21
690,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,,,,,,,,,,,3,9,5,43,16,10,10,14,14,20,22,23,24,26,40,47
704,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,,,,,,,,,,,,,,,,,,,,,,6,10,11,28,39
706,Somalia,,,,,,,,,,,,,,,,,,,,,,,,8,63,125
710,South Africa,,,,,,,,,,,,1,,,,,,,,,,,10,19,65,88
716,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,0
724,Spain,,34,31,38,32,24,7,8,10,18,18,20,20,15,21,21,21,21,34,33,47,32,352,923,2117,4616
732,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Sudan,,,,,,,,,,,,1,1,1,1,1,,,,,,,32,308,1035,3219
740,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,1796,2679,3157,3216,3384,3364,3240,3165,3014,2419,2028,1268,1841,1934,1546,1399,1527,1625,1701,1712,1540,1691,9802,24792,53296,101993
756,Switzerland,,,,,,,,,59,109,289,342,434,313,285,385,505,729,1201,1384,1553,2140,3083,4861,8662,13157
760,Syrian Arab Republic,,,,,,,,,,,,,,,0,0,9,0,0,0,0,0,0,0,0,0
762,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,,,,,,,,,,,,,,,,2,1,2,2,1,1,8,70,188,250,340
768,Togo,,,,,,,,,,,,,,,,,,,,,,1,9,1,6,6
776,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,1,20,47
784,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Tunisia,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,36,164,558,499
792,Turkey,,,,,,43,33,,,,3,8,11,8,14,19,7,24,33,64,74,224,248666,585711,1558149,2503846
795,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Uganda,,,,,,,,,,,,,,,,,,,,,,,1,8,13,17
804,Ukraine,,,,,,,,,23,29,39,52,45,66,83,80,71,65,86,96,138,219,516,758,935,965
807,"Macedonia, the Former Yugoslav Republic of",,,,,,,,,,,,,,,,,,,,,1,,1,205,665,13
818,Egypt,,,,3,5,2,,2,,,1,10,11,18,4,2,13,19,19,10,10,94,12836,131659,138381,117635
826,United Kingdom,17,16,9,9,5,5,5,5,5,5,,,,16,44,208,286,364,395,460,499,1032,2106,3810,5902,8144
834,"Tanzania, United Republic of",,,,,,,,,,,,,,,,,,,,,,,1,6,,
840,United States,257,205,154,757,1760,2394,2703,2737,2165,1178,728,479,481,393,404,323,585,422,392,408,322,485,1792,5180,7052,8769
854,Burkina Faso,,,,5,,,,,,,,,,,,,,,,,,,,,,
858,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,1,59,67
860,Uzbekistan,,,,,,,,,,,,1,2,1,8,8,,1,1,,,,,,,
862,Venezuela,,,,4,4,,,,,,,,,,,,,,,,,,,,,
876,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Yemen,,,,,,,,,,,11,13,14,81,68,58,63,73,76,78,86,66,173,1815,3315,3626
894,Zambia,,,,,,,,,,,,,,,,,,,,,,,,4,9,14
