numcode	Country	num_articles1990	num_articles1991	num_articles1992	num_articles1993	num_articles1994	num_articles1995	num_articles1996
4	Afghanistan	3	3	3	4	4	3	4
8	Albania	9	12	12	10	10	6	4
12	Algeria	16	15	15	16	20	13	15
24	Angola	24	24	24	24	24	19	19
28	Antigua and Barbuda	0	0	0	0	0	0	1
31	Azerbaijan	9	8	10	11	11	12	11
32	Argentina	69	70	71	74	77	49	46
36	Australia	119	126	120	123	123	100	100
40	Austria	94	97	97	98	99	85	82
44	Bahamas	0	2	2	2	2	1	2
48	Bahrain	1	1	1	1	1	2	3
50	Bangladesh	6	6	6	7	7	2	2
51	Armenia	10	12	12	12	12	10	11
52	Barbados	0	0	0	0	1	0	0
56	Belgium	99	99	103	100	114	88	91
68	Bolivia (Plurinational State of)	19	19	19	20	21	8	7
70	Bosnia and Herzegovina	11	11	10	12	14	7	10
72	Botswana	15	13	14	12	13	9	10
76	Brazil	75	73	76	77	78	69	83
84	Belize	2	1	1	2	1	2	4
90	Solomon Islands	0	0	0	0	0	0	0
96	Brunei Darussalam	0	0	0	0	0	1	1
100	Bulgaria	51	51	51	42	41	36	36
108	Burundi	6	7	7	7	6	8	9
112	Belarus	12	12	12	14	15	15	14
116	Cambodia	8	9	8	7	7	5	5
120	Cameroon	29	28	25	27	29	24	22
124	Canada	177	176	177	176	177	165	167
140	Central African Rep.	18	18	15	15	15	13	15
144	Sri Lanka	4	3	3	3	2	7	7
148	Chad	3	16	17	20	20	15	16
152	Chile	1	13	17	18	20	16	19
156	China	9	8	8	8	8	21	27
170	Colombia	29	30	33	35	36	16	15
180	"Congo, the Democratic Republic of the"	8	14	14	15	16	17	17
188	Costa Rica	44	44	44	45	46	31	30
191	Croatia	9	13	15	18	20	15	15
192	Cuba	11	9	9	8	8	3	7
196	Cyprus	43	43	48	49	50	35	38
203	Czech Rep.	63	67	67	69	69	41	44
204	Benin	25	25	26	18	10	5	5
208	Denmark	76	74	69	72	74	51	50
214	Dominican Rep.	0	2	1	3	4	3	4
218	Ecuador	69	71	70	72	72	29	29
222	El Salvador	2	4	4	6	6	2	5
231	Ethiopia	15	17	16	17	18	13	13
232	Eritrea	3	3	3	4	4	5	5
233	Estonia	10	12	17	19	20	8	10
242	Fiji	2	1	5	6	5	2	2
246	Finland	83	83	84	84	84	62	65
250	France	107	86	110	114	114	123	124
262	Djibouti	6	9	9	9	9	5	9
266	Gabon	22	22	23	23	23	12	11
268	Georgia	6	7	7	11	10	12	18
270	Gambia	9	12	12	13	12	8	8
276	Germany	163	167	167	165	155	132	133
288	Ghana	16	15	15	17	21	23	25
300	Greece	45	47	51	59	66	59	60
308	Grenada	0	0	1	0	0	0	0
320	Guatemala	6	6	6	9	9	6	8
324	Guinea	17	17	16	17	17	12	13
328	Guyana	0	1	1	1	2	1	1
332	Haiti	2	0	0	0	0	0	1
340	Honduras	4	5	6	5	5	2	5
348	Hungary	68	69	68	68	62	47	58
352	Iceland	22	25	19	20	24	25	14
356	India	16	17	21	25	29	21	21
360	Indonesia	12	14	16	21	23	27	26
364	Iran (Islamic Rep. of)	8	7	7	7	6	5	5
368	Iraq	7	9	8	11	9	19	17
372	Ireland	109	109	109	102	101	89	87
376	Israel	13	12	19	22	28	9	27
380	Italy	97	96	100	105	115	92	99
384	CÌ«te d'Ivoire	26	27	28	28	29	22	22
388	Jamaica	5	3	2	2	3	1	1
392	Japan	18	18	18	18	19	38	42
398	Kazakhstan	9	9	6	6	8	8	6
400	Jordan	17	19	21	23	25	21	26
404	Kenya	24	27	28	28	25	21	23
408	"Korea, Democratic People's Republic of"	0	0	0	0	0	0	1
410	"Korea, Republic of"	24	28	29	30	33	43	47
414	Kuwait	4	6	7	10	12	17	16
417	Kyrgyzstan	6	7	6	5	4	5	5
422	Lebanon	28	28	26	33	20	32	33
426	Lesotho	0	0	8	8	6	3	2
428	Latvia	14	17	22	23	24	17	16
430	Liberia	18	17	18	18	22	10	9
434	Libya	18	15	17	14	15	11	11
438	Liechtenstein	6	7	8	8	8	8	10
440	Lithuania	26	26	26	27	28	15	18
442	Luxembourg	1	1	1	1	55	40	43
454	Malawi	8	7	8	7	6	6	7
458	Malaysia	36	37	39	43	41	30	32
466	Mali	24	25	20	11	10	11	12
470	Malta	28	29	34	34	34	25	32
478	Mauritania	20	21	17	16	17	16	19
484	Mexico	59	63	66	49	52	35	34
492	Monaco	0	0	1	1	1	1	1
496	Mongolia	1	1	1	1	2	2	1
498	"Moldova, Republic of"	28	25	28	28	28	12	14
504	Morocco	27	26	24	25	27	27	25
508	Mozambique	14	13	13	14	13	13	13
512	Oman	2	2	2	2	2	2	2
516	Namibia	14	13	13	12	14	9	11
520	Nauru	0	0	0	0	0	14	9
524	Nepal	12	10	11	11	12	9	9
528	Netherlands	117	120	118	121	122	92	92
548	Vanuatu	2	2	0	2	2	0	0
554	New Zealand	80	79	80	72	73	33	35
558	Nicaragua	9	9	9	9	9	5	5
562	Niger	12	12	13	14	17	12	14
566	Nigeria	25	26	26	28	20	16	18
578	Norway	108	110	111	106	108	79	75
583	Micronesia (Federated States of)	1	0	0	0	0	0	2
585	Palau	1	0	1	1	1	0	0
586	Pakistan	16	16	16	16	16	12	14
591	Panama	27	31	33	37	37	19	21
598	Papua New Guinea	7	5	5	8	7	13	11
600	Paraguay	9	9	10	10	10	7	7
604	Peru	31	34	34	41	47	18	20
608	Philippines	16	17	19	18	21	16	19
616	Poland	57	59	65	63	64	36	36
620	Portugal	43	47	50	50	53	33	34
624	Guinea-Bissau	12	13	10	10	10	11	11
634	Qatar	2	3	3	3	3	4	5
642	Romania	48	47	45	45	47	27	28
643	Russian Federation	40	45	44	44	34	25	30
646	Rwanda	9	9	9	8	8	7	5
659	Saint Kitts and Nevis	0	0	0	0	0	0	0
662	Saint Lucia	0	0	1	1	2	0	0
670	Saint Vincent and the Grenadines	0	0	0	0	0	0	0
682	Saudi Arabia	13	14	14	14	14	13	9
686	Senegal	20	17	18	18	18	24	25
694	Sierra Leone	6	6	7	4	4	3	3
702	Singapore	2	2	2	2	2	0	0
703	Slovakia	36	35	34	34	35	17	21
704	Viet Nam	1	1	1	0	0	1	1
705	Slovenia	20	22	19	20	26	13	13
706	Somalia	10	8	8	9	9	9	9
710	South Africa	32	39	39	44	46	62	68
716	Zimbabwe	14	14	13	13	16	13	16
724	Spain	75	75	82	82	82	70	79
736	Sudan	7	10	18	21	23	14	19
740	Suriname	1	1	0	0	0	0	0
748	Swaziland	13	13	13	17	17	8	9
752	Sweden	127	125	128	128	127	110	112
756	Switzerland	116	119	118	117	116	93	90
760	Syrian Arab Rep.	22	31	34	36	34	34	34
762	Tajikistan	3	3	5	4	5	4	4
764	Thailand	26	24	25	27	29	31	32
768	Togo	14	15	16	17	13	11	13
776	Tonga	0	0	2	2	2	0	0
780	Trinidad and Tobago	13	12	9	9	13	6	7
788	Tunisia	14	14	31	25	24	13	12
792	Turkey	32	34	39	44	45	55	56
795	Turkmenistan	4	4	4	4	4	4	4
800	Uganda	19	20	20	22	21	16	16
804	Ukraine	49	51	50	56	57	54	55
807	Madagascar	0	0	5	5	4	1	1
807	"Macedonia, the Former Yugoslav Republic of"	3	3	3	3	4	21	5
818	Egypt	38	38	37	43	45	38	45
826	United Kingdom	126	130	142	149	148	120	121
834	"Tanzania, United Republic of"	4	4	4	4	4	4	4
840	United States of America	176	180	182	185	186	172	173
854	Burkina Faso	15	15	15	15	16	11	11
858	Uruguay	23	23	23	24	25	11	10
860	Uzbekistan	4	3	2	2	2	2	2
862	Venezuela (Bolivarian Republic of)	23	26	27	27	27	15	15
887	Yemen	14	17	16	20	19	15	18
894	Zambia	16	21	19	19	22	16	14
